filename,id,split,synset,breed,ear_type,file
n02085620_11477.jpg,n02085620_11477,train,n02085620,Chihuahua,pointy,images/train/n02085620_11477.jpg
n02085620_11696.jpg,n02085620_11696,train,n02085620,Chihuahua,pointy,images/train/n02085620_11696.jpg
n02085620_11818.jpg,n02085620_11818,train,n02085620,Chihuahua,pointy,images/train/n02085620_11818.jpg
n02085620_11948.jpg,n02085620_11948,train,n02085620,Chihuahua,pointy,images/train/n02085620_11948.jpg
n02085620_12334.jpg,n02085620_12334,train,n02085620,Chihuahua,pointy,images/train/n02085620_12334.jpg
n02085620_1235.jpg,n02085620_1235,train,n02085620,Chihuahua,pointy,images/train/n02085620_1235.jpg
n02085620_1298.jpg,n02085620_1298,train,n02085620,Chihuahua,pointy,images/train/n02085620_1298.jpg
n02085620_1346.jpg,n02085620_1346,train,n02085620,Chihuahua,pointy,images/train/n02085620_1346.jpg
n02085620_14252.jpg,n02085620_14252,train,n02085620,Chihuahua,pointy,images/train/n02085620_14252.jpg
n02085620_14413.jpg,n02085620_14413,train,n02085620,Chihuahua,pointy,images/train/n02085620_14413.jpg
n02085620_1862.jpg,n02085620_1862,train,n02085620,Chihuahua,pointy,images/train/n02085620_1862.jpg
n02085620_199.jpg,n02085620_199,train,n02085620,Chihuahua,pointy,images/train/n02085620_199.jpg
n02085620_2650.jpg,n02085620_2650,train,n02085620,Chihuahua,pointy,images/train/n02085620_2650.jpg
n02085620_2706.jpg,n02085620_2706,train,n02085620,Chihuahua,pointy,images/train/n02085620_2706.jpg
n02085620_3093.jpg,n02085620_3093,train,n02085620,Chihuahua,pointy,images/train/n02085620_3093.jpg
n02085620_3409.jpg,n02085620_3409,train,n02085620,Chihuahua,pointy,images/train/n02085620_3409.jpg
n02085620_3485.jpg,n02085620_3485,train,n02085620,Chihuahua,pointy,images/train/n02085620_3485.jpg
n02085620_3742.jpg,n02085620_3742,train,n02085620,Chihuahua,pointy,images/train/n02085620_3742.jpg
n02085620_3763.jpg,n02085620_3763,train,n02085620,Chihuahua,pointy,images/train/n02085620_3763.jpg
n02085620_3838.jpg,n02085620_3838,train,n02085620,Chihuahua,pointy,images/train/n02085620_3838.jpg
n02085620_4159.jpg,n02085620_4159,train,n02085620,Chihuahua,pointy,images/train/n02085620_4159.jpg
n02085620_4515.jpg,n02085620_4515,train,n02085620,Chihuahua,pointy,images/train/n02085620_4515.jpg
n02085620_4919.jpg,n02085620_4919,train,n02085620,Chihuahua,pointy,images/train/n02085620_4919.jpg
n02085620_4980.jpg,n02085620_4980,train,n02085620,Chihuahua,pointy,images/train/n02085620_4980.jpg
n02085620_4998.jpg,n02085620_4998,train,n02085620,Chihuahua,pointy,images/train/n02085620_4998.jpg
n02085620_500.jpg,n02085620_500,train,n02085620,Chihuahua,pointy,images/train/n02085620_500.jpg
n02085620_574.jpg,n02085620_574,train,n02085620,Chihuahua,pointy,images/train/n02085620_574.jpg
n02085620_7613.jpg,n02085620_7613,train,n02085620,Chihuahua,pointy,images/train/n02085620_7613.jpg
n02085620_7700.jpg,n02085620_7700,train,n02085620,Chihuahua,pointy,images/train/n02085620_7700.jpg
n02085620_7738.jpg,n02085620_7738,train,n02085620,Chihuahua,pointy,images/train/n02085620_7738.jpg
